corpus,file_path,respect_boundaries,stream_len,n_segments,n_windows,W,step,top_n,max_lag,short_lag_to,block,perm,seed,lag,mean_overlap_obs,mean_overlap_null_mean,mean_overlap_null_sd,z_lag_overlap,n_pairs
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,15,1.7860310421286032,1.725169623059867,0.03292836698612458,1.84829752093027,902
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,16,1.7880133185349611,1.7252241953385128,0.03342908556017946,1.8782782162382092,901
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,17,1.7844444444444445,1.7255966666666667,0.03324079063031436,1.7703483178920194,900
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,18,1.7675194660734148,1.7262358175750834,0.03359400443060232,1.228899299088151,899
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,19,1.765033407572383,1.7258118040089088,0.03334593718548245,1.1762033661045177,898
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,20,1.7513935340022297,1.724593088071349,0.03267034163837026,0.8203295278493374,897
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,1,2.495152870991797,2.4307427293064876,0.0160023317098207,4.025047277690198,1341
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,2,2.2932835820895523,2.1663970149253733,0.018231561939292762,6.959720049586776,1340
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,3,2.091112770724421,1.9504010455563854,0.0215544956393759,6.528184538495186,1339
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,4,1.9424514200298955,1.7687660687593423,0.025293892791193092,6.866691208995221,1338
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,5,1.830964846671653,1.6170119670905012,0.02730463760928583,7.835770708357257,1337
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,6,1.7297904191616766,1.490622754491018,0.029111755645369622,8.215501242320283,1336
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,7,1.7176029962546817,1.4676044943820226,0.02873662956923733,8.69964590907639,1335
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,8,1.6949025487256373,1.4583568215892053,0.028975969134974456,8.163513911633675,1334
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,9,1.697674418604651,1.4570960240060016,0.02895173403272366,8.309636801952095,1333
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,10,1.6689189189189189,1.4571463963963964,0.029085138672101243,7.281124732118151,1332
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,11,1.6461307287753568,1.4571660405709992,0.02947412709683965,6.411205583239115,1331
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,12,1.6210526315789473,1.4574578947368422,0.02958165965868268,5.53027581040699,1330
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,13,1.6072234762979685,1.4576975169300226,0.029769233474116117,5.02283538801751,1329
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,14,1.6046686746987953,1.4577899096385543,0.0294944925855497,4.9798708906150715,1328
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,15,1.5923134890730972,1.4575998492840996,0.029542236674977997,4.560035222488717,1327
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,16,1.5799396681749622,1.4574728506787331,0.029080081647497664,4.211364293289987,1326
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,17,1.5720754716981131,1.4574037735849057,0.029648971833672016,3.8676450150280095,1325
